track_id,artist,title,year,playlists,difficulty_actuel,is_francophone_actuel
bdf162d3-fef8-4293-aa5f-5f3cc8488333,Les Choristes,Vois sur ton chemin,2004,official-pl-cinema-fr-bo,,true
3bb62d49-aece-464f-bc31-d80c3b08c95a,Les Innocents,Je suis bien,1995,official-pl-fr-90s|official-pl-fr-90s-medium,2,true
ddb02c16-5c00-4180-bcb2-6cf6eb57cbb4,Les Innocents,L'autre Finistère,1992,official-pl-fr-90s|official-pl-fr-90s-hard,3,true
a34d16f4-5738-476b-a7dd-17d350798491,Les Misérables Cast,One Day More,2012,official-pl-musicals-us,,false
5f176c0d-b478-4a61-b3bc-0da7e53f9fbc,Les Négresses Vertes,Zobi la mouche,1991,official-pl-fr-90s|official-pl-fr-90s-hard|official-pl-rock-fr,3,true
f00b1db2-5e86-43e2-b08b-6ae6159c33bc,Les Rita Mitsouko,Andy,1986,official-pl-fr-80s|official-pl-fr-80s-hard,3,true
9543a180-f5a4-40ce-bea4-a9761aa455be,Les Rita Mitsouko,Le petit train,1988,official-pl-rock-fr,,true
0f9e3aab-9bd4-49b2-b9ba-7fedb2187f4e,Les Rita Mitsouko,Marcia Baïla,1984,official-pl-fr-80s|official-pl-fr-80s-easy|official-pl-rock-fr|official-pl-variete-francaise,1,true
179e4882-d414-441d-b805-5390c6ff3d76,Lewis Capaldi,Before You Go,2019,official-pl-2020s|official-pl-2020s-easy,1,false
3c635ecd-88b4-4670-b40e-40cf26cf0be8,Lewis Capaldi,Someone You Loved,2018,official-pl-2010s|official-pl-2010s-easy|official-pl-2010s-mix|official-pl-2020s|official-pl-2020s-easy|official-pl-pop,1,false
f0035acf-71e2-46f1-a370-020339b55320,Liane Foly,Au fur et à mesure,1991,official-pl-fr-90s|official-pl-fr-90s-hard,3,true
f990979c-10fd-4523-a8e2-9c3f0c2cd311,Liane Foly,Histoire éternelle,1991,official-pl-disney-fr,,true
cebc8153-f8a3-42f7-9ec1-6885093267a0,Lifehouse,Hanging by a Moment,2000,official-pl-2000s|official-pl-2000s-easy|official-pl-2000s-medium|official-pl-boys-girls-bands,1,false
045ecc0c-6ced-4d1c-8747-a73694ef86e1,Lifehouse,You and Me,2005,official-pl-love-international|official-pl-slows-cultes|official-pl-wedding,,false
fca6657a-2d13-4d45-89ed-d8281b0d461f,Lifelike & Kris Menace,Discopolis,2007,official-pl-french-touch,,false
d61d9825-d196-45c3-ac97-f215ee79b0f1,Lil Jon & The East Side Boyz,Get Low,2002,official-pl-rap-us,,false
b8285b9f-a8b4-4c28-bb7b-aa2cb3f7911e,Lil Nas X,Montero (Call Me By Your Name),2021,official-pl-2020s|official-pl-2020s-easy|official-pl-2020s-hard|official-pl-2020s-medium|official-pl-2020s-mix|official-pl-rap-us,1,false
7fa8a346-20bd-4caa-a1c1-a1609ca16403,Lil Nas X,Old Town Road,2019,official-pl-2010s|official-pl-2010s-easy|official-pl-country|official-pl-rap-us|official-pl-summer-hits-yearly|official-pl-tiktok-viral,1,false
fcb2cf99-2f48-4cc5-a239-bf2d5a765254,Lil Nas X,Thats What I Want,2021,official-pl-2020s|official-pl-2020s-medium,2,false
7ce2201e-743f-4560-98ba-021fb7401185,Lil Nas X & Jack Harlow,Industry Baby,2021,official-pl-2020s|official-pl-2020s-easy|official-pl-2020s-hard|official-pl-2020s-medium|official-pl-2020s-mix,1,false
6546bf02-77d8-43e7-ba15-541b5d2a1ab1,Lil Wayne,Got Money,2008,official-pl-rap-us,,false
b797a774-5519-43df-abd9-151646479f37,Lilicub,Voyage en Italie,1996,official-pl-boomers-60-plus|official-pl-fr-90s-mix,,true
bcbda8b2-64a9-4fe6-bc82-35cce907cbaa,Limp Bizkit,Behind Blue Eyes,2003,official-pl-reprises-celebres,,false
3e5308e3-8e48-460a-998a-10cf119c0b7a,Linkin Park,Bleed It Out,2007,official-pl-halloween,,false
e3b56e5c-7162-4af3-bcac-658ae08b1086,Linkin Park,Crawling,2000,official-pl-halloween,,false
d89d8f78-cead-4623-acbd-272161840357,Linkin Park,In the End,2001,official-pl-2000s|official-pl-2000s-easy|official-pl-2000s-medium|official-pl-2000s-mix|official-pl-intros-legendaires|official-pl-punk-rock-90s-2000s|official-pl-rock,1,false
7ca67ffb-0ffb-4e74-9dec-94b425dfc507,Linkin Park,Numb,2003,official-pl-2000s|official-pl-2000s-easy|official-pl-2000s-medium|official-pl-2000s-mix|official-pl-intros-legendaires|official-pl-punk-rock-90s-2000s|official-pl-rock,1,false
254b1fa6-16ac-4565-90eb-0749344173a1,Lio,Banana Split,1980,official-pl-fr-80s|official-pl-fr-80s-medium,2,true
45962e83-3713-4d5d-b12c-624b3a646843,Lionel Richie,Hello,1984,official-pl-generiques-films-series|official-pl-saint-valentin|official-pl-slows-cultes|official-pl-soul-rnb,,false
8f2b7d40-c099-4ce9-aa97-a74c85056419,Lionel Richie & Diana Ross,Endless Love,1981,official-pl-duos-cultes|official-pl-love-international|official-pl-saint-valentin,,false
